API_URL,API_Type,API_Slug,Frontend_URL,Status,Title,Content_Length,Headings,First_Paragraph
https://webadmin.pmc.gov.in/api/basic-page/asset-distribution-regulations?lang=en,basic-page,asset-distribution-regulations,https://www.pmc.gov.in/en/b/asset-distribution-regulations,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/list-cemeteries?lang=en,basic-page,list-cemeteries,https://www.pmc.gov.in/en/b/list-cemeteries,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pune-24x7-water-supply?lang=en,basic-page,pune-24x7-water-supply,https://www.pmc.gov.in/en/b/pune-24x7-water-supply,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/green-rating-system?lang=en,basic-page,green-rating-system,https://www.pmc.gov.in/en/b/green-rating-system,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/desludging-operators-list-pmc-and-empanelled-agencies?lang=en,basic-page,desludging-operators-list-pmc-and-empanelled-agencies,https://www.pmc.gov.in/en/b/desludging-operators-list-pmc-and-empanelled-agencies,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/services-cultural-department?lang=en,basic-page,services-cultural-department,https://www.pmc.gov.in/en/b/services-cultural-department,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/drainage-status-sewerage-maintenance?lang=en,basic-page,drainage-status-sewerage-maintenance,https://www.pmc.gov.in/en/b/drainage-status-sewerage-maintenance,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/vocational-training-centres?lang=en,basic-page,vocational-training-centres,https://www.pmc.gov.in/en/b/vocational-training-centres,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/required-documents-application-tree-authority?lang=en,basic-page,required-documents-application-tree-authority,https://www.pmc.gov.in/en/b/required-documents-application-tree-authority,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/fire-incidence-statistics?lang=en,basic-page,fire-incidence-statistics,https://www.pmc.gov.in/en/b/fire-incidence-statistics,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/defense-air-force-noc?lang=en,basic-page,defense-air-force-noc,https://www.pmc.gov.in/en/b/defense-air-force-noc,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/ev-readiness-plan-city?lang=en,basic-page,ev-readiness-plan-city,https://www.pmc.gov.in/en/b/ev-readiness-plan-city,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/it-awards?lang=en,basic-page,it-awards,https://www.pmc.gov.in/en/b/it-awards,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tree-cutting-permission?lang=en,basic-page,tree-cutting-permission,https://www.pmc.gov.in/en/b/tree-cutting-permission,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/evs-economically-cheaper?lang=en,basic-page,evs-economically-cheaper,https://www.pmc.gov.in/en/b/evs-economically-cheaper,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/national-immunization-schedule?lang=en,basic-page,national-immunization-schedule,https://www.pmc.gov.in/en/b/national-immunization-schedule,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/investor?lang=en,basic-page,investor,https://www.pmc.gov.in/en/b/investor,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/key-rules-safety-and-precaution?lang=en,basic-page,key-rules-safety-and-precaution,https://www.pmc.gov.in/en/b/key-rules-safety-and-precaution,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/various-service-charges?lang=en,basic-page,various-service-charges,https://www.pmc.gov.in/en/b/various-service-charges,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tree-authority-members?lang=en,basic-page,tree-authority-members,https://www.pmc.gov.in/en/b/tree-authority-members,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/frequently-asked-questions?lang=en,basic-page,frequently-asked-questions,https://www.pmc.gov.in/en/b/frequently-asked-questions,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/compounded-structures?lang=en,basic-page,compounded-structures,https://www.pmc.gov.in/en/b/compounded-structures,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tdr-generation-info?lang=en,basic-page,tdr-generation-info,https://www.pmc.gov.in/en/b/tdr-generation-info,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/website-policy?lang=en,basic-page,website-policy,https://www.pmc.gov.in/en/b/website-policy,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/amrit-mahotsav-competition-winning-logo?lang=en,basic-page,amrit-mahotsav-competition-winning-logo,https://www.pmc.gov.in/en/b/amrit-mahotsav-competition-winning-logo,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/about-pune-municipal-corporation?lang=en,basic-page,about-pune-municipal-corporation,https://www.pmc.gov.in/en/b/about-pune-municipal-corporation,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/sre-officers?lang=en,basic-page,sre-officers,https://www.pmc.gov.in/en/b/sre-officers,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/emergency-contact-numbers?lang=en,basic-page,emergency-contact-numbers,https://www.pmc.gov.in/en/b/emergency-contact-numbers,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/garden-rules?lang=en,basic-page,garden-rules,https://www.pmc.gov.in/en/b/garden-rules,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/required-documents-permission?lang=en,basic-page,required-documents-permission,https://www.pmc.gov.in/en/b/required-documents-permission,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/43rd-fruits-flowers-and-vegetable-exhibition-pune-municipal-corporation-0?lang=en,basic-page,43rd-fruits-flowers-and-vegetable-exhibition-pune-municipal-corporation-0,https://www.pmc.gov.in/en/b/43rd-fruits-flowers-and-vegetable-exhibition-pune-municipal-corporation-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pune-municipal-corporations-75th-anniversary-online-logo-design-competition-0?lang=en,basic-page,pune-municipal-corporations-75th-anniversary-online-logo-design-competition-0,https://www.pmc.gov.in/en/b/pune-municipal-corporations-75th-anniversary-online-logo-design-competition-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/fines-and-charges-details?lang=en,basic-page,fines-and-charges-details,https://www.pmc.gov.in/en/b/fines-and-charges-details,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/safe-walking-plans?lang=en,basic-page,safe-walking-plans,https://www.pmc.gov.in/en/b/safe-walking-plans,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/school-list?lang=en,basic-page,school-list,https://www.pmc.gov.in/en/b/school-list,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/project-activities?lang=en,basic-page,project-activities,https://www.pmc.gov.in/en/b/project-activities,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/current-status?lang=en,basic-page,current-status,https://www.pmc.gov.in/en/b/current-status,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/road-development-and-maintenance?lang=en,basic-page,road-development-and-maintenance,https://www.pmc.gov.in/en/b/road-development-and-maintenance,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/acts-and-regulations?lang=en,basic-page,acts-and-regulations,https://www.pmc.gov.in/en/b/acts-and-regulations,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/awards-accountant?lang=en,basic-page,awards-accountant,https://www.pmc.gov.in/en/b/awards-accountant,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/bharat-ratna-dr-babasaheb-ambedkar-student-hostel?lang=en,basic-page,bharat-ratna-dr-babasaheb-ambedkar-student-hostel,https://www.pmc.gov.in/en/b/bharat-ratna-dr-babasaheb-ambedkar-student-hostel,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/ambulance?lang=en,basic-page,ambulance,https://www.pmc.gov.in/en/b/ambulance,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/vehicles-solid-waste-management?lang=en,basic-page,vehicles-solid-waste-management,https://www.pmc.gov.in/en/b/vehicles-solid-waste-management,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pune-city-page?lang=en,basic-page,pune-city-page,https://www.pmc.gov.in/en/b/pune-city-page,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/heritage-management-departments-operations?lang=en,basic-page,heritage-management-departments-operations,https://www.pmc.gov.in/en/b/heritage-management-departments-operations,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/blood-bank?lang=en,basic-page,blood-bank,https://www.pmc.gov.in/en/b/blood-bank,Found,,191,,
